,Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0,0 days 01:03:42.593000,VER,1,0 days 00:01:32.198000,1,1,,,,38.449,33.249,,0 days 01:03:09.454000,0 days 01:03:42.693000,283,286,210,301,false,MEDIUM,1,true,Red Bull Racing,0 days 01:02:10.161000,2022-11-20 13:03:11.207,1,1,false,,false,false,92.198,
1,1,0 days 01:05:13.134000,VER,1,0 days 00:01:30.541000,2,1,,,18.571,38.647,33.323,0 days 01:04:01.192000,0 days 01:04:39.839000,0 days 01:05:13.162000,279,288,211,295,true,MEDIUM,2,true,Red Bull Racing,0 days 01:03:42.593000,2022-11-20 13:04:43.639,1,1,false,,false,true,90.541,90.541
2,2,0 days 01:06:43.102000,VER,1,0 days 00:01:29.968000,3,1,,,18.562,38.526,32.88,0 days 01:05:31.724000,0 days 01:06:10.250000,0 days 01:06:43.130000,,293,211,297,true,MEDIUM,3,true,Red Bull Racing,0 days 01:05:13.134000,2022-11-20 13:06:14.180,1,1,false,,false,true,89.968,89.96800000000002
3,3,0 days 01:08:13.470000,VER,1,0 days 00:01:30.368000,4,1,,,18.512,38.573,33.283,0 days 01:07:01.642000,0 days 01:07:40.215000,0 days 01:08:13.498000,280,289,211,295,false,MEDIUM,4,true,Red Bull Racing,0 days 01:06:43.102000,2022-11-20 13:07:44.148,1,1,false,,false,true,90.368,90.368
4,4,0 days 01:09:43.972000,VER,1,0 days 00:01:30.502000,5,1,,,18.492,38.754,33.256,0 days 01:08:31.990000,0 days 01:09:10.744000,0 days 01:09:44,,289,210,295,false,MEDIUM,5,true,Red Bull Racing,0 days 01:08:13.470000,2022-11-20 13:09:14.516,1,1,false,,false,true,90.502,90.502
5,5,0 days 01:11:14.539000,VER,1,0 days 00:01:30.567000,6,1,,,18.474,38.776,33.317,0 days 01:10:02.474000,0 days 01:10:41.250000,0 days 01:11:14.567000,,293,210,292,false,MEDIUM,6,true,Red Bull Racing,0 days 01:09:43.972000,2022-11-20 13:10:45.018,1,1,false,,false,true,90.567,90.567
6,6,0 days 01:12:45.200000,VER,1,0 days 00:01:30.661000,7,1,,,18.589,38.776,33.296,0 days 01:11:33.156000,0 days 01:12:11.932000,0 days 01:12:45.228000,,295,209,299,false,MEDIUM,7,true,Red Bull Racing,0 days 01:11:14.539000,2022-11-20 13:12:15.585,1,1,false,,false,true,90.661,90.661
7,7,0 days 01:14:15.891000,VER,1,0 days 00:01:30.691000,8,1,,,18.512,38.813,33.366,0 days 01:13:03.740000,0 days 01:13:42.553000,0 days 01:14:15.919000,281,291,206,296,false,MEDIUM,8,true,Red Bull Racing,0 days 01:12:45.200000,2022-11-20 13:13:46.246,1,1,false,,false,true,90.691,90.691
8,8,0 days 01:15:46.492000,VER,1,0 days 00:01:30.601000,9,1,,,18.482,38.807,33.312,0 days 01:14:34.401000,0 days 01:15:13.208000,0 days 01:15:46.520000,,294,209,299,false,MEDIUM,9,true,Red Bull Racing,0 days 01:14:15.891000,2022-11-20 13:15:16.937,1,1,false,,false,true,90.601,90.601
9,9,0 days 01:17:17.113000,VER,1,0 days 00:01:30.621000,10,1,,,18.434,38.798,33.389,0 days 01:16:04.954000,0 days 01:16:43.752000,0 days 01:17:17.141000,282,293,208,301,false,MEDIUM,10,true,Red Bull Racing,0 days 01:15:46.492000,2022-11-20 13:16:47.538,1,1,false,,false,true,90.621,90.621
