,Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
1011,1011,0 days 01:42:26.342000,SAI,55,0 days 00:01:30.007000,26,2,,,18.352,38.381,33.274,0 days 01:41:14.699000,0 days 01:41:53.080000,0 days 01:42:26.354000,280,301,208,303,true,HARD,3,true,Ferrari,0 days 01:40:56.335000,2023-11-26 13:41:57.460,1,16,false,,false,true,90.007,90.007
1012,1012,0 days 01:43:56.183000,SAI,55,0 days 00:01:29.841000,27,2,,,18.324,37.97,33.547,0 days 01:42:44.678000,0 days 01:43:22.648000,0 days 01:43:56.195000,283,298,209,333,true,HARD,4,true,Ferrari,0 days 01:42:26.342000,2023-11-26 13:43:27.467,1,15,false,,false,true,89.841,89.841
1013,1013,0 days 01:45:26.160000,SAI,55,0 days 00:01:29.977000,28,2,,,18.442,38.389,33.146,0 days 01:44:14.637000,0 days 01:44:53.026000,0 days 01:45:26.172000,284,297,210,325,false,HARD,5,true,Ferrari,0 days 01:43:56.183000,2023-11-26 13:44:57.308,1,14,false,,false,true,89.977,89.977
1014,1014,0 days 01:46:55.800000,SAI,55,0 days 00:01:29.640000,29,2,,,18.233,38.447,32.96,0 days 01:45:44.405000,0 days 01:46:22.852000,0 days 01:46:55.812000,283,298,208,303,true,HARD,6,true,Ferrari,0 days 01:45:26.160000,2023-11-26 13:46:27.285,1,14,false,,false,true,89.64,89.64000000000001
1015,1015,0 days 01:48:25.500000,SAI,55,0 days 00:01:29.700000,30,2,,,18.224,38.385,33.091,0 days 01:47:14.036000,0 days 01:47:52.421000,0 days 01:48:25.512000,281,296,210,300,false,HARD,7,true,Ferrari,0 days 01:46:55.800000,2023-11-26 13:47:56.925,1,14,true,TRACK LIMITS AT TURN 1 LAP 30 ,false,true,89.7,89.69999999999999
1016,1016,0 days 01:49:55.264000,SAI,55,0 days 00:01:29.764000,31,2,,,18.217,38.321,33.226,0 days 01:48:43.729000,0 days 01:49:22.050000,0 days 01:49:55.276000,280,297,210,302,false,HARD,8,true,Ferrari,0 days 01:48:25.500000,2023-11-26 13:49:26.625,1,14,false,,false,true,89.764,89.764
1017,1017,0 days 01:51:25.161000,SAI,55,0 days 00:01:29.897000,32,2,,,18.117,38.285,33.495,0 days 01:50:13.393000,0 days 01:50:51.678000,0 days 01:51:25.173000,286,313,211,311,false,HARD,9,true,Ferrari,0 days 01:49:55.264000,2023-11-26 13:50:56.389,1,12,false,,false,true,89.897,89.89699999999999
1018,1018,0 days 01:52:54.921000,SAI,55,0 days 00:01:29.760000,33,2,,,18.195,38.628,32.937,0 days 01:51:43.368000,0 days 01:52:21.996000,0 days 01:52:54.933000,280,294,210,295,false,HARD,10,true,Ferrari,0 days 01:51:25.161000,2023-11-26 13:52:26.286,1,12,false,,false,true,89.76,89.75999999999999
1019,1019,0 days 01:54:24.595000,SAI,55,0 days 00:01:29.674000,34,2,,,18.124,38.596,32.954,0 days 01:53:13.057000,0 days 01:53:51.653000,0 days 01:54:24.607000,282,295,210,301,false,HARD,11,true,Ferrari,0 days 01:52:54.921000,2023-11-26 13:53:56.046,1,12,false,,false,true,89.674,89.674
1020,1020,0 days 01:55:54.089000,SAI,55,0 days 00:01:29.494000,35,2,,,18.073,38.417,33.004,0 days 01:54:42.680000,0 days 01:55:21.097000,0 days 01:55:54.101000,,294,210,301,true,HARD,12,true,Ferrari,0 days 01:54:24.595000,2023-11-26 13:55:25.720,1,12,false,,false,true,89.494,89.494
1021,1021,0 days 01:57:24.317000,SAI,55,0 days 00:01:30.228000,36,2,,,18.129,38.764,33.335,0 days 01:56:12.230000,0 days 01:56:50.994000,0 days 01:57:24.329000,,297,211,300,false,HARD,13,true,Ferrari,0 days 01:55:54.089000,2023-11-26 13:56:55.214,1,11,false,,false,true,90.228,90.228
1022,1022,0 days 01:58:54.124000,SAI,55,0 days 00:01:29.807000,37,2,,,18.108,38.474,33.225,0 days 01:57:42.437000,0 days 01:58:20.911000,0 days 01:58:54.136000,283,295,211,303,false,HARD,14,true,Ferrari,0 days 01:57:24.317000,2023-11-26 13:58:25.442,1,9,false,,false,true,89.807,89.80699999999999
1023,1023,0 days 02:00:23.870000,SAI,55,0 days 00:01:29.746000,38,2,,,18.15,38.103,33.493,0 days 01:59:12.286000,0 days 01:59:50.389000,0 days 02:00:23.882000,289,311,211,312,false,HARD,15,true,Ferrari,0 days 01:58:54.124000,2023-11-26 13:59:55.249,1,9,false,,false,true,89.746,89.74600000000001
1024,1024,0 days 02:01:54.451000,SAI,55,0 days 00:01:30.581000,39,2,,,18.195,38.632,33.754,0 days 02:00:42.077000,0 days 02:01:20.709000,0 days 02:01:54.463000,290,319,212,327,false,HARD,16,true,Ferrari,0 days 02:00:23.870000,2023-11-26 14:01:24.995,1,9,false,,false,true,90.581,90.581
1025,1025,0 days 02:03:24.086000,SAI,55,0 days 00:01:29.635000,40,2,,,18.103,38.424,33.108,0 days 02:02:12.566000,0 days 02:02:50.990000,0 days 02:03:24.098000,284,296,210,300,false,HARD,17,true,Ferrari,0 days 02:01:54.451000,2023-11-26 14:02:55.576,1,9,false,,false,true,89.635,89.63499999999999
